reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,14,0,2,t,0.640252000070177,None,2,0,14,6,25.738057099981233,,25.727238600025885,25.738057099981233,26.738041799981147,26.738041799981147,26.738041799981147,27.391409100033343,t,0.640252000070177,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,15,1,2,t,0.3611538000404835,None,2,1,15,2,27.40444940002635,,27.394295600010082,27.40444940002635,28.40517030004412,28.40517030004412,28.40517030004412,28.77398539998103,t,0.3611538000404835,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,16,2,2,t,0.5667670000111684,None,2,2,16,4,28.788249099976383,,28.775938499951735,28.788249099976383,29.787988599971868,29.787988599971868,29.787988599971868,30.35748510004487,t,0.5667670000111684,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,17,3,2,l,0.5159296999918297,None,2,3,17,0,30.371817899984308,,30.359558399999514,30.371817899984308,31.370991199975833,31.370991199975833,31.370991199975833,31.891372599988244,l,0.5159296999918297,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,18,4,2,t,0.6842582999961451,None,2,4,18,3,31.90493499999866,,31.89342920004856,31.90493499999866,32.90468230005354,32.90468230005354,32.90468230005354,33.590876600006595,t,0.6842582999961451,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,19,5,2,t,0.8997041000984609,None,2,5,19,5,33.604416999965906,,33.59283019998111,33.604416999965906,34.60504269995727,34.60504269995727,34.60504269995727,35.507638999959454,t,0.8997041000984609,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,20,6,2,l,0.6652995999902487,None,2,6,20,1,35.52087350003421,,35.509570399997756,35.52087350003421,36.52107400004752,36.52107400004752,36.52107400004752,37.1911108000204,l,0.6652995999902487,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,21,0,3,l,0.6546197000425309,None,3,0,21,0,37.20454619999509,,37.19358349998947,37.20454619999509,38.20494419999886,38.20494419999886,38.20494419999886,38.87392160005402,l,0.6546197000425309,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,22,1,3,l,0.7061390000162646,None,3,1,22,1,38.88807069999166,,38.875826000003144,38.88807069999166,39.88815839996096,39.88815839996096,39.88815839996096,40.6080140999984,l,0.7061390000162646,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,23,2,3,l,0.6961107000242919,None,3,2,23,2,40.621678499970585,,40.61084680003114,40.621678499970585,41.621449499973096,41.621449499973096,41.621449499973096,42.32454990001861,l,0.6961107000242919,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,24,3,3,t,0.7189003999810666,None,3,3,24,5,42.337868400034495,,42.32712370005902,42.337868400034495,43.33791350002866,43.33791350002866,43.33791350002866,44.057949600042775,t,0.7189003999810666,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,25,4,3,t,1.0648485999554396,None,3,4,25,6,44.071391899953596,,44.05989429994952,44.071391899953596,45.07115109998267,45.07115109998267,45.07115109998267,46.14030700002331,t,1.0648485999554396,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,26,5,3,l,0.8057790999300778,None,3,5,26,3,46.15421319997404,,46.142404000042006,46.15421319997404,47.1543458000524,47.1543458000524,47.1543458000524,47.974275700049475,l,0.8057790999300778,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,27,6,3,t,2.7814003999810666,None,3,6,27,4,47.98875140002929,,47.97625089995563,47.98875140002929,48.988457900006324,48.988457900006324,48.988457900006324,51.77430769999046,t,2.7814003999810666,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
40,55,62,28,0,4,l,2.187361599993892,None,4,0,28,3,51.788210100028664,,51.77658549998887,51.788210100028664,52.78793470002711,52.78793470002711,52.78793470002711,54.990229699993506,l,2.187361599993892,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,29,1,4,t,1.0777504000579938,None,4,1,29,4,55.004104100051336,,54.99230959999841,55.004104100051336,56.00425870006438,56.00425870006438,56.00425870006438,57.08975579997059,t,1.0777504000579938,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,30,2,4,t,0.7602331000380218,None,4,2,30,6,57.10445710003842,,57.09168289997615,57.10445710003842,58.10414760001004,58.10414760001004,58.10414760001004,58.87320010003168,t,0.7602331000380218,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,31,3,4,l,0.7408699999796227,None,4,3,31,1,58.88756169995759,,58.87511929997709,58.88756169995759,59.887602400034666,59.887602400034666,59.887602400034666,60.64095579995774,l,0.7408699999796227,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,32,4,4,t,0.698823899962008,None,4,4,32,5,60.65400540002156,,60.643351300037466,60.65400540002156,61.65398169995751,61.65398169995751,61.65398169995751,62.357425400055945,t,0.698823899962008,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,33,5,4,l,0.7995402000378817,None,4,5,33,0,62.37125750002451,,62.35992209997494,62.37125750002451,63.370732499985024,63.370732499985024,63.370732499985024,64.17370050004683,l,0.7995402000378817,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,34,6,4,l,0.7524777000071481,None,4,6,34,2,64.1876466999529,,64.17564819997642,64.1876466999529,65.18775909999385,65.18775909999385,65.18775909999385,65.95649530005176,l,0.7524777000071481,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
15,35,13,35,0,5,l,0.6612024999922141,None,5,0,35,1,65.9707761000609,,65.95840750006028,65.9707761000609,66.9709862000309,66.9709862000309,66.9709862000309,67.64079980005044,l,0.6612024999922141,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
67,75,119,36,1,5,t,0.8080468999687582,None,5,1,36,5,67.65453070006333,,67.64293900004122,67.65453070006333,68.65452139999252,68.65452139999252,68.65452139999252,69.47358350001741,t,0.8080468999687582,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
27,50,21,37,2,5,l,0.9550445999484509,None,5,2,37,2,69.48791220004205,,69.47629889997188,69.48791220004205,70.48752700001933,70.48752700001933,70.48752700001933,71.45727400004398,l,0.9550445999484509,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
49,60,89,38,3,5,t,3.327863399987109,None,5,3,38,4,71.4706814000383,,71.45933720003814,71.4706814000383,72.47060330002569,72.47060330002569,72.47060330002569,75.80665599997155,t,3.327863399987109,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
78,80,162,39,4,5,l,0.7868647999130189,None,5,4,39,6,75.82116299995687,,75.80943370005116,75.82116299995687,76.82046950003132,76.82046950003132,76.82046950003132,77.62311339995358,l,0.7868647999130189,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
11,30,7,40,5,5,l,0.8584311000304297,None,5,5,40,0,77.63748659996781,,77.62500400003046,77.63748659996781,78.63724640000146,78.63724640000146,78.63724640000146,79.50719330005813,l,0.8584311000304297,None,804930,001,2024-11-21_14h32.23.980,Delay Discounting,2024.2.1post4,60.1869768847871,2024-11-21 14h32.31.034173 +0530,
